# lane,0,0,200,0
# obstacle,100,0,2.0,2.0
t,true_x,true_y,true_yaw,est_x,est_y,est_yaw,v,throttle,brake,steer,n_obj,obj_x,obj_y
23.30,95.904,0.014,-0.0131,96.156,0.063,-0.0037,-0.008,0.000,1.000,-0.0103,1,100.000,0.000
23.40,95.904,0.014,-0.0131,96.166,0.063,-0.0082,0.052,0.000,1.000,-0.0053,1,100.000,0.000
23.50,95.904,0.014,-0.0131,96.163,0.063,-0.0035,0.010,0.000,1.000,-0.0106,1,100.000,0.000
23.60,95.904,0.014,-0.0131,96.165,0.063,-0.0059,0.014,0.000,1.000,-0.0079,1,100.000,0.000
23.70,95.904,0.014,-0.0131,96.176,0.074,-0.0035,0.076,0.000,1.000,-0.0133,1,100.000,0.000
23.80,95.904,0.014,-0.0131,96.181,0.074,-0.0047,0.059,0.000,1.000,-0.0121,1,100.000,0.000
23.90,95.904,0.014,-0.0131,96.188,0.074,-0.0054,0.064,0.000,1.000,-0.0112,1,100.000,0.000
24.00,95.904,0.014,-0.0131,96.182,0.074,-0.0061,-0.001,0.000,1.000,-0.0104,1,100.000,0.000
24.10,95.904,0.014,-0.0131,96.199,0.074,-0.0079,0.089,0.000,1.000,-0.0085,1,100.000,0.000
24.20,95.904,0.014,-0.0131,96.194,0.083,-0.0072,0.051,0.000,1.000,-0.0113,1,100.000,0.000
24.30,95.904,0.014,-0.0131,96.190,0.083,-0.0095,0.001,0.000,1.000,-0.0087,1,100.000,0.000
24.40,95.904,0.014,-0.0131,96.182,0.083,-0.0088,-0.043,0.000,1.000,-0.0096,1,100.000,0.000
24.50,95.904,0.014,-0.0131,96.190,0.083,-0.0029,0.020,0.000,1.000,-0.0162,1,100.000,0.000
24.60,95.904,0.014,-0.0131,96.177,0.083,-0.0017,-0.058,0.000,1.000,-0.0174,1,100.000,0.000
24.70,95.904,0.014,-0.0131,96.188,0.087,-0.0021,-0.081,0.000,1.000,-0.0180,1,100.000,0.000
24.80,95.904,0.014,-0.0131,96.191,0.087,0.0007,-0.019,0.000,1.000,-0.0211,1,100.000,0.000
24.90,95.904,0.014,-0.0131,96.189,0.087,-0.0068,-0.019,0.000,1.000,-0.0127,1,100.000,0.000
25.00,95.904,0.014,-0.0131,96.205,0.087,-0.0104,0.076,0.000,1.000,-0.0087,1,100.000,0.000
25.10,95.904,0.014,-0.0131,96.203,0.087,-0.0145,0.028,0.000,1.000,-0.0042,1,100.000,0.000
25.20,95.904,0.014,-0.0131,96.197,0.081,-0.0159,0.077,0.000,1.000,-0.0011,1,100.000,0.000
25.30,95.904,0.014,-0.0131,96.201,0.081,-0.0165,0.057,0.000,1.000,-0.0005,1,100.000,0.000
25.40,95.904,0.014,-0.0131,96.206,0.081,-0.0122,0.053,0.000,1.000,-0.0054,1,100.000,0.000
25.50,95.904,0.014,-0.0131,96.206,0.081,-0.0131,0.026,0.000,1.000,-0.0043,1,100.000,0.000
25.60,95.904,0.014,-0.0131,96.212,0.081,-0.0167,0.046,0.000,1.000,-0.0003,1,100.000,0.000
25.70,95.904,0.014,-0.0131,96.188,0.087,-0.0178,0.036,0.000,1.000,-0.0002,1,100.000,0.000
25.80,95.904,0.014,-0.0131,96.193,0.086,-0.0185,0.040,0.000,1.000,0.0006,1,100.000,0.000
25.90,95.904,0.014,-0.0131,96.197,0.086,-0.0167,0.044,0.000,1.000,-0.0014,1,100.000,0.000
26.00,95.904,0.014,-0.0131,96.188,0.087,-0.0147,-0.029,0.000,1.000,-0.0037,1,100.000,0.000
26.10,95.904,0.014,-0.0131,96.188,0.087,-0.0073,-0.013,0.000,1.000,-0.0120,1,100.000,0.000
26.20,95.904,0.014,-0.0131,96.154,0.058,-0.0092,-0.086,0.000,1.000,-0.0030,1,100.000,0.000
26.30,95.904,0.014,-0.0131,96.145,0.058,-0.0101,-0.087,0.000,1.000,-0.0020,1,100.000,0.000
26.40,95.904,0.014,-0.0131,96.136,0.058,-0.0099,-0.090,0.000,1.000,-0.0022,1,100.000,0.000
26.50,95.904,0.014,-0.0131,96.127,0.058,-0.0118,-0.088,0.000,1.000,-0.0001,1,100.000,0.000
26.60,95.904,0.014,-0.0131,96.136,0.058,-0.0117,0.006,0.000,1.000,-0.0002,1,100.000,0.000
26.70,95.904,0.014,-0.0131,96.130,0.081,-0.0114,0.031,0.000,1.000,-0.0058,1,100.000,0.000
26.80,95.904,0.014,-0.0131,96.130,0.081,-0.0103,0.011,0.000,1.000,-0.0069,1,100.000,0.000
26.90,95.904,0.014,-0.0131,96.128,0.081,-0.0126,-0.002,0.000,1.000,-0.0044,1,100.000,0.000
27.00,95.904,0.014,-0.0131,96.135,0.081,-0.0115,0.035,0.000,1.000,-0.0057,1,100.000,0.000
27.10,95.904,0.014,-0.0131,96.136,0.081,-0.0120,0.019,0.000,1.000,-0.0051,1,100.000,0.000
27.20,95.904,0.014,-0.0131,96.122,0.065,-0.0102,0.034,0.000,1.000,-0.0034,1,100.000,0.000
27.30,95.904,0.014,-0.0131,96.111,0.065,-0.0122,-0.042,0.000,1.000,-0.0012,1,100.000,0.000
27.40,95.904,0.014,-0.0131,96.107,0.065,-0.0131,-0.040,0.000,1.000,-0.0002,1,100.000,0.000
27.50,95.904,0.014,-0.0131,96.113,0.065,-0.0147,0.012,0.000,1.000,0.0015,1,100.000,0.000
27.60,95.904,0.014,-0.0131,96.116,0.065,-0.0134,0.025,0.000,1.000,0.0001,1,100.000,0.000
27.70,95.904,0.014,-0.0131,96.090,0.090,-0.0091,-0.005,0.000,1.000,-0.0101,1,100.000,0.000
27.80,95.904,0.014,-0.0131,96.086,0.090,-0.0052,-0.025,0.000,1.000,-0.0143,1,100.000,0.000
27.90,95.904,0.014,-0.0131,96.084,0.090,-0.0036,-0.022,0.000,1.000,-0.0161,1,100.000,0.000
28.00,95.904,0.014,-0.0131,96.088,0.090,-0.0031,0.009,0.000,1.000,-0.0167,1,100.000,0.000
28.10,95.904,0.014,-0.0131,96.088,0.090,-0.0038,0.004,0.000,1.000,-0.0159,1,100.000,0.000
28.20,95.904,0.014,-0.0131,96.080,0.090,-0.0059,-0.022,0.000,1.000,-0.0135,1,100.000,0.000
28.30,95.904,0.014,-0.0131,96.084,0.090,-0.0032,0.010,0.000,1.000,-0.0165,1,100.000,0.000
28.40,95.904,0.014,-0.0131,96.091,0.090,-0.0073,0.039,0.000,1.000,-0.0120,1,100.000,0.000
28.50,95.904,0.014,-0.0131,96.097,0.090,-0.0086,0.055,0.000,1.000,-0.0106,1,100.000,0.000
28.60,95.904,0.014,-0.0131,96.116,0.089,-0.0050,0.122,0.000,1.000,-0.0147,1,100.000,0.000
28.70,95.904,0.014,-0.0131,96.126,0.051,-0.0072,0.024,0.000,1.000,-0.0037,1,100.000,0.000
28.80,95.904,0.014,-0.0131,96.137,0.051,-0.0084,0.072,0.000,1.000,-0.0024,1,100.000,0.000
28.90,95.904,0.014,-0.0131,96.149,0.051,-0.0127,0.099,0.000,1.000,0.0024,1,100.000,0.000
29.00,95.904,0.014,-0.0131,96.144,0.051,-0.0139,0.020,0.000,1.000,0.0038,1,100.000,0.000
29.10,95.904,0.014,-0.0131,96.153,0.051,-0.0094,0.052,0.000,1.000,-0.0012,1,100.000,0.000
29.20,95.904,0.014,-0.0131,96.158,0.067,-0.0104,0.046,0.000,1.000,-0.0038,1,100.000,0.000
29.30,95.904,0.014,-0.0131,96.159,0.067,-0.0096,0.028,0.000,1.000,-0.0047,1,100.000,0.000
29.40,95.904,0.014,-0.0131,96.161,0.067,-0.0091,0.024,0.000,1.000,-0.0053,1,100.000,0.000
29.50,95.904,0.014,-0.0131,96.156,0.067,-0.0105,-0.016,0.000,1.000,-0.0037,1,100.000,0.000
29.60,95.904,0.014,-0.0131,96.156,0.067,-0.0136,-0.008,0.000,1.000,-0.0002,1,100.000,0.000
29.70,95.904,0.014,-0.0131,96.147,0.051,-0.0111,-0.032,0.000,1.000,0.0006,1,100.000,0.000
29.80,95.904,0.014,-0.0131,96.156,0.051,-0.0110,0.037,0.000,1.000,0.0005,1,100.000,0.000
29.90,95.904,0.014,-0.0131,96.167,0.051,-0.0094,0.072,0.000,1.000,-0.0012,1,100.000,0.000
30.00,95.904,0.014,-0.0131,96.167,0.051,-0.0083,0.036,0.000,1.000,-0.0025,1,100.000,0.000
30.10,95.904,0.014,-0.0131,96.184,0.051,-0.0041,0.106,0.000,1.000,-0.0072,1,100.000,0.000
30.20,95.904,0.014,-0.0131,96.163,0.033,-0.0038,0.049,0.000,1.000,-0.0032,1,100.000,0.000
30.30,95.904,0.014,-0.0131,96.165,0.033,-0.0011,0.032,0.000,1.000,-0.0063,1,100.000,0.000
30.40,95.904,0.014,-0.0131,96.156,0.033,0.0026,-0.033,0.000,1.000,-0.0104,1,100.000,0.000
30.50,95.904,0.014,-0.0131,96.162,0.033,0.0005,0.015,0.000,1.000,-0.0081,1,100.000,0.000
30.60,95.904,0.014,-0.0131,96.166,0.033,0.0013,0.027,0.000,1.000,-0.0090,1,100.000,0.000
30.70,95.904,0.014,-0.0131,96.115,0.025,-0.0006,-0.052,0.000,1.000,-0.0051,1,100.000,0.000
30.80,95.904,0.014,-0.0131,96.111,0.025,-0.0032,-0.046,0.000,1.000,-0.0022,1,100.000,0.000
30.90,95.904,0.014,-0.0131,96.111,0.025,-0.0032,-0.018,0.000,1.000,-0.0022,1,100.000,0.000
31.00,95.904,0.014,-0.0131,96.116,0.025,-0.0018,0.018,0.000,1.000,-0.0037,1,100.000,0.000
31.10,95.904,0.014,-0.0131,96.122,0.025,-0.0018,0.038,0.000,1.000,-0.0038,1,100.000,0.000
31.20,95.904,0.014,-0.0131,96.136,0.047,-0.0017,0.023,0.000,1.000,-0.0089,1,100.000,0.000
31.30,95.904,0.014,-0.0131,96.135,0.047,-0.0003,0.002,0.000,1.000,-0.0105,1,100.000,0.000
31.40,95.904,0.014,-0.0131,96.143,0.047,-0.0057,0.044,0.000,1.000,-0.0044,1,100.000,0.000
31.50,95.904,0.014,-0.0131,96.144,0.047,-0.0082,0.025,0.000,1.000,-0.0017,1,100.000,0.000
31.60,95.904,0.014,-0.0131,96.136,0.047,-0.0121,-0.031,0.000,1.000,0.0027,1,100.000,0.000
31.70,95.904,0.014,-0.0131,96.128,0.036,-0.0118,0.028,0.000,1.000,0.0050,1,100.000,0.000
31.80,95.904,0.014,-0.0131,96.139,0.035,-0.0140,0.071,0.000,1.000,0.0075,1,100.000,0.000
31.90,95.904,0.014,-0.0131,96.153,0.035,-0.0134,0.109,0.000,1.000,0.0068,1,100.000,0.000
32.00,95.904,0.014,-0.0131,96.163,0.035,-0.0110,0.107,0.000,1.000,0.0042,1,100.000,0.000
32.10,95.904,0.014,-0.0131,96.165,0.035,-0.0115,0.061,0.000,1.000,0.0047,1,100.000,0.000
32.20,95.904,0.014,-0.0131,96.144,0.048,-0.0083,0.013,0.000,1.000,-0.0017,1,100.000,0.000
32.30,95.904,0.014,-0.0131,96.140,0.048,-0.0136,-0.017,0.000,1.000,0.0042,1,100.000,0.000
32.40,95.904,0.014,-0.0131,96.153,0.048,-0.0127,0.063,0.000,1.000,0.0032,1,100.000,0.000
32.50,95.904,0.014,-0.0131,96.147,0.048,-0.0166,-0.001,0.000,1.000,0.0075,1,100.000,0.000
32.60,95.904,0.014,-0.0131,96.157,0.048,-0.0136,0.050,0.000,1.000,0.0042,1,100.000,0.000
32.70,95.904,0.014,-0.0131,96.148,0.061,-0.0094,0.039,0.000,1.000,-0.0035,1,100.000,0.000
32.80,95.904,0.014,-0.0131,96.142,0.061,-0.0098,-0.017,0.000,1.000,-0.0030,1,100.000,0.000
32.90,95.904,0.014,-0.0131,96.145,0.061,-0.0123,0.010,0.000,1.000,-0.0003,1,100.000,0.000
33.00,95.904,0.014,-0.0131,96.158,0.061,-0.0087,0.074,0.000,1.000,-0.0043,1,100.000,0.000
33.10,95.904,0.014,-0.0131,96.159,0.061,-0.0083,0.042,0.000,1.000,-0.0048,1,100.000,0.000
33.20,95.904,0.014,-0.0131,96.135,0.065,-0.0128,0.041,0.000,1.000,-0.0007,1,100.000,0.000
33.30,95.904,0.014,-0.0131,96.124,0.065,-0.0146,-0.044,0.000,1.000,0.0014,1,100.000,0.000
33.40,95.904,0.014,-0.0131,96.121,0.065,-0.0160,-0.033,0.000,1.000,0.0028,1,100.000,0.000
33.50,95.904,0.014,-0.0131,96.120,0.065,-0.0167,-0.022,0.000,1.000,0.0037,1,100.000,0.000
33.60,95.904,0.014,-0.0131,96.121,0.065,-0.0150,-0.008,0.000,1.000,0.0018,1,100.000,0.000
33.70,95.904,0.014,-0.0131,96.121,0.087,-0.0130,-0.014,0.000,1.000,-0.0054,1,100.000,0.000
33.80,95.904,0.014,-0.0131,96.110,0.088,-0.0142,-0.064,0.000,1.000,-0.0041,1,100.000,0.000
33.90,95.904,0.014,-0.0131,96.114,0.087,-0.0137,-0.011,0.000,1.000,-0.0047,1,100.000,0.000
34.00,95.904,0.014,-0.0131,96.121,0.087,-0.0145,0.035,0.000,1.000,-0.0038,1,100.000,0.000
34.10,95.904,0.014,-0.0131,96.127,0.087,-0.0125,0.047,0.000,1.000,-0.0060,1,100.000,0.000
34.20,95.904,0.014,-0.0131,96.083,0.100,-0.0134,-0.021,0.000,1.000,-0.0076,1,100.000,0.000
34.30,95.904,0.014,-0.0131,96.076,0.100,-0.0093,-0.044,0.000,1.000,-0.0120,1,100.000,0.000
34.40,95.904,0.014,-0.0131,96.089,0.100,-0.0076,0.046,0.000,1.000,-0.0139,1,100.000,0.000
34.50,95.904,0.014,-0.0131,96.097,0.100,-0.0044,0.069,0.000,1.000,-0.0175,1,100.000,0.000
34.60,95.904,0.014,-0.0131,96.103,0.100,-0.0060,0.061,0.000,1.000,-0.0158,1,100.000,0.000
34.70,95.904,0.014,-0.0131,96.098,0.097,-0.0030,0.004,0.000,1.000,-0.0184,1,100.000,0.000
34.80,95.904,0.014,-0.0131,96.097,0.097,-0.0070,-0.003,0.000,1.000,-0.0140,1,100.000,0.000
34.90,95.904,0.014,-0.0131,96.086,0.097,-0.0127,-0.058,0.000,1.000,-0.0076,1,100.000,0.000
35.00,95.904,0.014,-0.0131,96.093,0.097,-0.0103,0.007,0.000,1.000,-0.0103,1,100.000,0.000
35.10,95.904,0.014,-0.0131,96.094,0.097,-0.0109,0.008,0.000,1.000,-0.0097,1,100.000,0.000
35.20,95.904,0.014,-0.0131,96.074,0.087,-0.0077,0.001,0.000,1.000,-0.0110,1,100.000,0.000
35.30,95.904,0.014,-0.0131,96.065,0.087,-0.0027,-0.047,0.000,1.000,-0.0164,1,100.000,0.000
35.40,95.904,0.014,-0.0131,96.079,0.087,-0.0033,0.053,0.000,1.000,-0.0158,1,100.000,0.000
35.50,95.904,0.014,-0.0131,96.087,0.087,-0.0056,0.068,0.000,1.000,-0.0134,1,100.000,0.000
35.60,95.904,0.014,-0.0131,96.090,0.087,-0.0066,0.048,0.000,1.000,-0.0123,1,100.000,0.000
35.70,95.904,0.014,-0.0131,96.106,0.075,-0.0063,0.077,0.000,1.000,-0.0100,1,100.000,0.000
35.80,95.904,0.014,-0.0131,96.106,0.075,-0.0076,0.035,0.000,1.000,-0.0086,1,100.000,0.000
35.90,95.904,0.014,-0.0131,96.114,0.075,-0.0082,0.062,0.000,1.000,-0.0079,1,100.000,0.000
36.00,95.904,0.014,-0.0131,96.120,0.075,-0.0074,0.061,0.000,1.000,-0.0088,1,100.000,0.000
36.10,95.904,0.014,-0.0131,96.130,0.075,-0.0107,0.080,0.000,1.000,-0.0051,1,100.000,0.000
36.20,95.904,0.014,-0.0131,96.128,0.060,-0.0104,-0.003,0.000,1.000,-0.0022,1,100.000,0.000
36.30,95.904,0.014,-0.0131,96.130,0.060,-0.0085,0.011,0.000,1.000,-0.0043,1,100.000,0.000
36.40,95.904,0.014,-0.0131,96.129,0.060,-0.0073,-0.001,0.000,1.000,-0.0056,1,100.000,0.000
36.50,95.904,0.014,-0.0131,96.122,0.060,-0.0095,-0.039,0.000,1.000,-0.0032,1,100.000,0.000
36.60,95.904,0.014,-0.0131,96.112,0.060,-0.0073,-0.071,0.000,1.000,-0.0055,1,100.000,0.000
36.70,95.904,0.014,-0.0131,96.108,0.043,-0.0100,-0.042,0.000,1.000,0.0014,1,100.000,0.000
36.80,95.904,0.014,-0.0131,96.111,0.043,-0.0134,-0.005,0.000,1.000,0.0052,1,100.000,0.000
36.90,95.904,0.014,-0.0131,96.101,0.043,-0.0090,-0.056,0.000,1.000,0.0003,1,100.000,0.000
37.00,95.904,0.014,-0.0131,96.101,0.043,-0.0102,-0.024,0.000,1.000,0.0016,1,100.000,0.000
37.10,95.904,0.014,-0.0131,96.108,0.043,-0.0110,0.026,0.000,1.000,0.0026,1,100.000,0.000
37.20,95.904,0.014,-0.0131,96.074,0.025,-0.0094,0.054,0.000,1.000,0.0047,1,100.000,0.000
37.30,95.904,0.014,-0.0131,96.087,0.025,-0.0133,0.094,0.000,1.000,0.0091,1,100.000,0.000
37.40,95.904,0.014,-0.0131,96.087,0.025,-0.0136,0.044,0.000,1.000,0.0094,1,100.000,0.000
37.50,95.904,0.014,-0.0131,96.090,0.025,-0.0118,0.036,0.000,1.000,0.0074,1,100.000,0.000
37.60,95.904,0.014,-0.0131,96.090,0.025,-0.0096,0.015,0.000,1.000,0.0050,1,100.000,0.000
37.70,95.904,0.014,-0.0131,96.070,0.026,-0.0134,-0.043,0.000,1.000,0.0090,1,100.000,0.000
37.80,95.904,0.014,-0.0131,96.076,0.026,-0.0175,0.017,0.000,1.000,0.0135,1,100.000,0.000
37.90,95.904,0.014,-0.0131,96.081,0.026,-0.0199,0.035,0.000,1.000,0.0161,1,100.000,0.000
38.00,95.904,0.014,-0.0131,96.082,0.026,-0.0196,0.022,0.000,1.000,0.0158,1,100.000,0.000
38.10,95.904,0.014,-0.0131,96.086,0.025,-0.0196,0.028,0.000,1.000,0.0159,1,100.000,0.000
38.20,95.904,0.014,-0.0131,96.077,0.020,-0.0169,0.044,0.000,1.000,0.0141,1,100.000,0.000
38.30,95.904,0.014,-0.0131,96.071,0.020,-0.0156,-0.010,0.000,1.000,0.0126,1,100.000,0.000
38.40,95.904,0.014,-0.0131,96.069,0.020,-0.0094,-0.017,0.000,1.000,0.0059,1,100.000,0.000
38.50,95.904,0.014,-0.0131,96.065,0.020,-0.0137,-0.025,0.000,1.000,0.0106,1,100.000,0.000
38.60,95.904,0.014,-0.0131,96.073,0.020,-0.0155,0.028,0.000,1.000,0.0126,1,100.000,0.000
38.70,95.904,0.014,-0.0131,96.071,0.038,-0.0155,0.020,0.000,1.000,0.0085,1,100.000,0.000
38.80,95.904,0.014,-0.0131,96.056,0.038,-0.0126,-0.073,0.000,1.000,0.0054,1,100.000,0.000
38.90,95.904,0.014,-0.0131,96.053,0.038,-0.0107,-0.047,0.000,1.000,0.0032,1,100.000,0.000
39.00,95.904,0.014,-0.0131,96.047,0.038,-0.0062,-0.055,0.000,1.000,-0.0017,1,100.000,0.000
39.10,95.904,0.014,-0.0131,96.048,0.038,-0.0081,-0.021,0.000,1.000,0.0004,1,100.000,0.000
39.20,95.904,0.014,-0.0131,96.041,0.047,-0.0101,-0.011,0.000,1.000,0.0008,1,100.000,0.000
39.30,95.904,0.014,-0.0131,96.044,0.047,-0.0113,0.011,0.000,1.000,0.0021,1,100.000,0.000
39.40,95.904,0.014,-0.0131,96.047,0.047,-0.0110,0.017,0.000,1.000,0.0017,1,100.000,0.000
39.50,95.904,0.014,-0.0131,96.046,0.047,-0.0088,0.007,0.000,1.000,-0.0007,1,100.000,0.000
39.60,95.904,0.014,-0.0131,96.036,0.047,-0.0118,-0.049,0.000,1.000,0.0026,1,100.000,0.000
39.70,95.904,0.014,-0.0131,96.040,0.039,-0.0142,-0.031,0.000,1.000,0.0069,1,100.000,0.000
39.80,95.904,0.014,-0.0131,96.046,0.039,-0.0114,0.019,0.000,1.000,0.0038,1,100.000,0.000
39.90,95.904,0.014,-0.0131,96.034,0.039,-0.0131,-0.057,0.000,1.000,0.0057,1,100.000,0.000
40.00,95.904,0.014,-0.0131,96.022,0.039,-0.0131,-0.088,0.000,1.000,0.0056,1,100.000,0.000
