# lane,0,0,200,0
# obstacle,100,0,2.0,2.0
t,true_x,true_y,true_yaw,est_x,est_y,est_yaw,v,throttle,brake,steer,n_obj,obj_x,obj_y
5.70,30.973,-0.085,0.0135,29.809,-0.156,0.0088,8.404,0.069,0.000,0.0048,0,,
5.80,31.817,-0.072,0.0153,30.658,-0.163,0.0077,8.445,0.048,0.000,0.0056,0,,
5.90,32.663,-0.057,0.0174,31.505,-0.173,0.0065,8.460,0.047,0.000,0.0067,0,,
6.00,33.510,-0.042,0.0177,32.379,-0.126,0.0114,8.399,0.088,0.000,0.0010,0,,
6.10,34.359,-0.028,0.0173,33.222,-0.109,0.0132,8.417,0.059,0.000,-0.0011,0,,
6.20,35.209,-0.014,0.0157,34.062,-0.077,0.0174,8.408,0.067,0.000,-0.0052,0,,
6.30,36.060,-0.001,0.0153,34.904,-0.084,0.0116,8.419,0.055,0.000,-0.0014,0,,
6.40,36.912,0.012,0.0157,35.745,-0.092,0.0076,8.412,0.061,0.000,0.0014,0,,
6.50,37.764,0.026,0.0164,36.603,-0.094,0.0063,8.497,0.001,0.000,0.0021,0,,
6.60,38.617,0.040,0.0160,37.436,-0.057,0.0078,8.520,0.005,0.000,-0.0010,0,,
6.70,39.470,0.053,0.0157,38.284,-0.051,0.0070,8.497,0.023,0.000,-0.0010,0,,
6.80,40.323,0.066,0.0150,39.132,-0.037,0.0081,8.489,0.020,0.000,-0.0024,1,99.125,0.000
6.90,41.176,0.077,0.0128,39.982,0.000,0.0127,8.500,0.009,0.000,-0.0068,1,99.625,0.000
7.00,42.030,0.085,0.0098,40.835,0.028,0.0134,8.517,0.000,0.001,-0.0097,1,100.000,-0.000
7.10,42.883,0.092,0.0084,41.689,0.014,0.0059,8.528,0.000,0.004,-0.0043,1,100.000,-0.000
7.20,43.736,0.099,0.0083,42.569,-0.023,0.0032,8.572,0.000,0.018,-0.0004,1,100.000,0.000
7.30,44.588,0.106,0.0077,43.423,-0.012,0.0046,8.551,0.000,0.007,-0.0018,1,100.000,-0.000
7.40,45.440,0.113,0.0083,44.271,-0.031,-0.0005,8.512,0.003,0.000,0.0020,1,100.000,0.000
7.50,46.292,0.121,0.0090,45.128,-0.035,-0.0002,8.545,0.000,0.015,0.0020,1,100.000,0.000
7.60,47.143,0.129,0.0095,45.982,-0.034,0.0004,8.542,0.000,0.012,0.0016,1,100.000,0.000
7.70,47.994,0.137,0.0095,46.838,-0.025,0.0028,8.551,0.000,0.017,-0.0001,1,100.000,0.000
7.80,48.844,0.145,0.0092,47.699,-0.014,0.0030,8.539,0.000,0.013,-0.0008,1,100.000,0.000
